28
C2	C2H2	C2H4	CH	CH4	CN	CO	CO2	CS	H2	H2CO	H2O	H2O2	H2S	HCN	N2	N2O	NH	NH3	NO	NO2	NS	O	O2	OH	SH	SO2	He	
1.66523875663252e-08	4270.795539812707	4.1194751009452657e-13	0.0	0.0	1.486187187792716e-11	0.0	7.717858362999158e-12	7.026145106101106e-11	1.9412460497901964e-24	1.95293962743288e-15	6.779755730439738e-07	1.02429145587586e-26	1.9408133831466582e-16	1.5963374674502748e-30	1.0008450147990519e-20	2.376145730646117e-17	1.856006667319258e-12	7.570685503248834e-27	4.1258191952348147e-14	1.867706438903297e-27	4.9247731486320256e-14	6.2796452098831645e-27	5.584026260367823e-19	0.00012900334868	1.3387127904898244e-14	1.7859575815402938e-10	1.098866843511845e-13	0.0	0.0635599647071217	
1.97379485881576e-08	3208.439078732896	1.0043503253915972e-10	2.2170687602474813e-18	7.376307058705634e-29	2.7568314206755857e-10	1.3710659999661146e-25	3.3340332954845596e-10	5.484111184913017e-09	1.5193837923431987e-19	4.2665087238495943e-13	2.202546355909915e-05	1.1686250956038114e-23	5.801228584970808e-13	1.790174045162289e-26	1.3370105594958973e-17	6.284820064921618e-14	2.2692909755886677e-10	3.8127181122566535e-22	9.780775718892872e-12	1.6339957892755172e-22	7.177583254280301e-11	1.4641759108176454e-22	1.919027096801945e-15	0.0002363825473046	2.4285784931654893e-12	1.0139490661731478e-08	8.480382307265409e-12	2.724315655592286e-21	0.073220750263072	
2.33952406474482e-08	2347.053717715271	9.675595329810027e-10	1.6408806381790474e-14	1.264588095761293e-23	9.033231821739661e-10	2.033118000749572e-22	4.013686303688971e-09	1.2973837542714556e-07	1.2012416189224346e-14	7.569207324208428e-12	0.0002407239936932	8.7503286281403e-21	1.905612204970605e-10	1.9281867958993803e-24	4.689991931364612e-16	2.1131032820071648e-11	9.946096776071062e-09	3.5550483461008365e-18	2.403451446294829e-10	2.4395479273894893e-19	9.399553012492424e-09	4.118500202896152e-20	6.223789173966923e-13	0.0003264152384137	1.0840846742505439e-10	1.4012605642398976e-07	6.535167747468674e-11	9.93137303078508e-18	0.0794351331643879	
2.77302011659106e-08	1765.7163002885895	1.1314166901611531e-09	8.20566698129186e-12	1.8306465445743523e-24	1.215570734783654e-09	7.79437906382547e-20	3.5598981775041596e-08	1.5008423493979408e-06	1.0843426885309187e-11	5.318474425530655e-11	0.0016184751790876	1.9967548201994418e-18	2.3139240659580235e-08	6.040275588267802e-23	2.8131470390757068e-15	3.152421693267235e-09	1.6169878726977898e-07	4.278598646504921e-16	5.306741364420511e-10	1.3522304533670193e-17	1.2015579677144246e-07	3.9333778382245664e-19	1.0841920794114019e-11	0.0003834844781151	2.6261538630827656e-09	9.904330588968443e-07	1.6100688054536623e-10	5.64633689515519e-15	0.0829873622746154	
3.28683969654205e-08	1454.702329377856	6.593855118210883e-10	3.5560307490127816e-10	5.425641744497552e-22	1.3480567676847346e-09	1.0052409594175139e-17	1.9405995715292866e-07	1.0580329791367132e-05	1.073954940304918e-09	3.5025778877392975e-10	0.0075315866705217	1.560954208945566e-16	9.826917689868882e-07	3.3671193382544077e-21	9.866832299394178e-15	1.21683906048831e-07	1.345054005021863e-06	5.777613041813494e-15	4.1236998022301204e-10	2.3971650488971586e-15	6.638014696770181e-07	1.4715755287871853e-18	3.1177281566128954e-11	0.0004089350156065	3.2605015661047324e-08	4.490840642121432e-06	2.8058891551829383e-10	5.633420220279668e-13	0.0853548462712711	
3.89586614468756e-08	1321.5014522095948	1.5075809416258742e-10	1.0612750763355323e-09	1.730264636788063e-20	1.7646364434357723e-09	5.569196556840972e-16	5.251786285489909e-07	4.815975399104867e-05	2.6461390523340772e-08	1.3982836770135274e-09	0.0257587829351201	4.1970093114497505e-15	1.461058345570035e-05	6.418492292736414e-20	4.3769243309052987e-14	1.3359299863639969e-06	6.280705740978334e-06	4.3519657280112775e-14	5.177581622564845e-10	4.072039091804925e-13	2.1139726111559577e-06	5.0232935366165306e-18	6.543818293266773e-11	0.000381266784744	1.6460710469602954e-07	1.384597700133468e-05	5.716954568817535e-10	1.3451268814795374e-11	0.0880364449591296	
4.6177405710690994e-08	1200.2959735478128	2.2013683306926087e-11	7.913006766927331e-10	1.5037165462817305e-19	1.0925876812984755e-09	5.4328428279616004e-15	5.952460006577011e-07	0.0001211768377516	2.2145035564931175e-07	2.5793476268134453e-09	0.0609602941158706	2.062769080557733e-14	7.805211839276127e-05	3.6322713286619707e-19	8.430035671348309e-14	4.04117961931312e-06	1.5228110303895096e-05	9.331128372674112e-14	3.53976348959116e-10	7.559799042621006e-12	3.284416729552362e-06	4.112503565362265e-18	8.605800173522761e-11	0.0002716461978124	3.6872406334511437e-07	2.279055858761504e-05	7.464134911900175e-10	9.084094433220329e-11	0.0918532703912425	
5.47337284952012e-08	1122.784341581393	3.4284375926152588e-12	4.272270921814811e-10	3.9847830113977153e-19	5.066404001724483e-10	1.6148710051058623e-14	4.08119836109961e-07	0.0001862091826898	6.465773108801278e-07	2.575296360743448e-09	0.1038271424472292	2.7862727820396894e-14	0.0001641407001501	6.469388152071185e-19	1.1623332635388946e-13	5.211585423977176e-06	2.338154982802875e-05	8.656198508477614e-14	2.0318341249475386e-10	1.9483647874375828e-11	3.079658961572881e-06	1.671257003250572e-18	1.063534696316242e-10	0.0001581580616812	3.5626704184189777e-07	2.255014114392416e-05	8.394470680769871e-10	1.8961609182795978e-10	0.0961091485315447	
6.487547294786269e-08	1067.1067239169524	5.787959412225279e-13	2.1629334128359856e-10	5.45954683664305e-19	2.1141033390715443e-10	2.477422443851932e-14	2.482985367451613e-07	0.0002292779983854	1.166099085858995e-06	2.0179430025139e-09	0.1460921990049003	2.1119792003760417e-14	0.0002266469837996	7.28303126193156e-19	1.3003386989258097e-13	4.9525969436114894e-06	2.972838005913926e-05	5.46981026913825e-14	1.0651341025704531e-10	2.3195947878313265e-11	2.365475877741385e-06	5.519290758232299e-19	1.240811445299305e-10	9.147658928371524e-05	2.603312229443478e-07	1.8467581537704684e-05	8.570494541431884e-10	2.463727627091362e-10	0.1001749416854548	
7.6896405670187e-08	1017.9278623189048	1.0741122973476693e-13	1.1170862836196165e-10	6.418688921975227e-19	8.306572866654269e-11	2.642002848489005e-14	1.5350865606060986e-07	0.0002573186028265	1.6959540451922869e-06	1.520873271000749e-09	0.1859226510367161	1.2798956013127775e-14	0.0002682434534017	7.503709952920319e-19	1.1987472314968297e-13	4.322518997839235e-06	3.453208295942717e-05	3.0332422018750865e-14	5.298660771167713e-11	2.231340621396989e-11	1.7026454263827766e-06	1.7058349004509578e-19	1.3240416682411435e-10	5.669684954532115e-05	1.9441795787765773e-07	1.4599566803244258e-05	7.892330371469364e-10	2.862785662954553e-10	0.1039379154470468	
