#            P[bar]TiO2                   VO                     Al2O3                  SiO2                   Mg1.2SiO3.2            H2O                    Fe                     FeS                    C                      SiC                                   T[K]
     5.1089698E+001         2.0859824E+003         1.9586237E+003         2.3071010E+003         2.8120978E+003         2.4143174E+003         2.5166611E+002         2.3005397E+003         2.2042951E+003         1.2301275E+002         1.0277970E+002
     4.6415888E+001         2.0804499E+003         1.9537535E+003         2.3003155E+003         2.8007547E+003         2.4059341E+003         2.5069881E+002         2.2895645E+003         2.1942378E+003         1.2301275E+002         1.0277970E+002
     4.2169650E+001         2.0749471E+003         1.9489079E+003         2.2935704E+003         2.7895047E+003         2.3976099E+003         2.4973908E+002         2.2786961E+003         2.1842740E+003         1.2301275E+002         1.0277970E+002
     3.8311868E+001         2.0694737E+003         1.9440865E+003         2.2868654E+003         2.7783466E+003         2.3893442E+003         2.4878680E+002         2.2679329E+003         2.1744025E+003         1.2301275E+002         1.0277970E+002
     3.4807006E+001         2.0640295E+003         1.9392892E+003         2.2802000E+003         2.7672793E+003         2.3811362E+003         2.4784190E+002         2.2572734E+003         2.1646218E+003         1.2301275E+002         1.0277970E+002
     3.1622777E+001         2.0586142E+003         1.9345158E+003         2.2735740E+003         2.7563015E+003         2.3729854E+003         2.4690430E+002         2.2467161E+003         2.1549307E+003         1.2301275E+002         1.0277970E+002
     2.8729848E+001         2.0532277E+003         1.9297662E+003         2.2669869E+003         2.7454123E+003         2.3648912E+003         2.4597390E+002         2.2362594E+003         2.1453281E+003         1.2301275E+002         1.0277970E+002
     2.6101572E+001         2.0478697E+003         1.9250401E+003         2.2604385E+003         2.7346106E+003         2.3568531E+003         2.4505062E+002         2.2259019E+003         2.1358126E+003         1.2301275E+002         1.0277970E+002
     2.3713737E+001         2.0425400E+003         1.9203375E+003         2.2539284E+003         2.7238952E+003         2.3488703E+003         2.4413438E+002         2.2156422E+003         2.1263830E+003         1.2301275E+002         1.0277970E+002
     2.1544347E+001         2.0372383E+003         1.9156580E+003         2.2474562E+003         2.7132652E+003         2.3409424E+003         2.4322510E+002         2.2054788E+003         2.1170383E+003         1.2301275E+002         1.0277970E+002
     1.9573418E+001         2.0319653E+003         1.9110024E+003         2.2410228E+003         2.7027214E+003         2.3330702E+003         2.4232286E+002         2.1954124E+003         2.1077788E+003         1.2301275E+002         1.0277970E+002
     1.7782794E+001         2.0267200E+003         1.9063697E+003         2.2346266E+003         2.6922609E+003         2.3252516E+003         2.4142741E+002         2.1854395E+003         2.0986019E+003         1.2301275E+002         1.0277970E+002
     1.6155981E+001         2.0215020E+003         1.9017597E+003         2.2282674E+003         2.6818826E+003         2.3174862E+003         2.4053869E+002         2.1755590E+003         2.0895063E+003         1.2301275E+002         1.0277970E+002
     1.4677993E+001         2.0163112E+003         1.8971721E+003         2.2219449E+003         2.6715856E+003         2.3097734E+003         2.3965661E+002         2.1657695E+003         2.0804909E+003         1.2301275E+002         1.0277970E+002
     1.3335214E+001         2.0111474E+003         1.8926070E+003         2.2156586E+003         2.6613690E+003         2.3021127E+003         2.3878110E+002         2.1560697E+003         2.0715547E+003         1.2301275E+002         1.0277970E+002
     1.2115277E+001         2.0060102E+003         1.8880640E+003         2.2094083E+003         2.6512318E+003         2.2945034E+003         2.3791208E+002         2.1464584E+003         2.0626967E+003         1.2301275E+002         1.0277970E+002
     1.1006942E+001         2.0008996E+003         1.8835431E+003         2.2031937E+003         2.6411730E+003         2.2869452E+003         2.3704948E+002         2.1369344E+003         2.0539158E+003         1.2301275E+002         1.0277970E+002
     1.0000000E+001         1.9958154E+003         1.8790440E+003         2.1970145E+003         2.6311917E+003         2.2794374E+003         2.3619324E+002         2.1274965E+003         2.0452109E+003         1.2301275E+002         1.0277970E+002
     9.0851758E+000         1.9907572E+003         1.8745666E+003         2.1908703E+003         2.6212871E+003         2.2719796E+003         2.3534327E+002         2.1181434E+003         2.0365811E+003         1.2301275E+002         1.0277970E+002
     8.2540419E+000         1.9857249E+003         1.8701108E+003         2.1847609E+003         2.6114582E+003         2.2645713E+003         2.3449951E+002         2.1088741E+003         2.0280254E+003         1.2301275E+002         1.0277970E+002
     7.4989421E+000         1.9807188E+003         1.8656768E+003         2.1786865E+003         2.6017049E+003         2.2572125E+003         2.3366195E+002         2.0996882E+003         2.0195436E+003         1.2301275E+002         1.0277970E+002
     6.8129207E+000         1.9757381E+003         1.8612639E+003         2.1726462E+003         2.5920256E+003         2.2499022E+003         2.3283047E+002         2.0905836E+003         2.0111339E+003         1.2301275E+002         1.0277970E+002
     6.1896582E+000         1.9707828E+003         1.8568722E+003         2.1666398E+003         2.5824194E+003         2.2426398E+003         2.3200500E+002         2.0815595E+003         2.0027954E+003         1.2301275E+002         1.0277970E+002
     5.6234133E+000         1.9658525E+003         1.8525013E+003         2.1606670E+003         2.5728856E+003         2.2354250E+003         2.3118546E+002         2.0726147E+003         1.9945273E+003         1.2301275E+002         1.0277970E+002
     5.1089698E+000         1.9609472E+003         1.8481513E+003         2.1547275E+003         2.5634232E+003         2.2282572E+003         2.3037180E+002         2.0637481E+003         1.9863287E+003         1.2301275E+002         1.0277970E+002
     4.6415888E+000         1.9560667E+003         1.8438219E+003         2.1488210E+003         2.5540314E+003         2.2211360E+003         2.2956394E+002         2.0549587E+003         1.9781985E+003         1.2301275E+002         1.0277970E+002
     4.2169650E+000         1.9512106E+003         1.8395129E+003         2.1429473E+003         2.5447096E+003         2.2140610E+003         2.2876184E+002         2.0462455E+003         1.9701361E+003         1.2301275E+002         1.0277970E+002
     3.8311868E+000         1.9463790E+003         1.8352243E+003         2.1371061E+003         2.5354568E+003         2.2070316E+003         2.2796543E+002         2.0376075E+003         1.9621405E+003         1.2301275E+002         1.0277970E+002
     3.4807006E+000         1.9415715E+003         1.8309559E+003         2.1312971E+003         2.5262723E+003         2.2000474E+003         2.2717464E+002         2.0290437E+003         1.9542109E+003         1.2301275E+002         1.0277970E+002
     3.1622777E+000         1.9367880E+003         1.8267076E+003         2.1255200E+003         2.5171554E+003         2.1931080E+003         2.2638941E+002         2.0205531E+003         1.9463464E+003         1.2301275E+002         1.0277970E+002
     2.8729848E+000         1.9320283E+003         1.8224791E+003         2.1197745E+003         2.5081053E+003         2.1862130E+003         2.2560969E+002         2.0121349E+003         1.9385464E+003         1.2301275E+002         1.0277970E+002
