#            P[bar]TiO2                   VO                     Al2O3                  SiO2                   Mg1.2SiO3.2            H2O                    Fe                     FeS                    C                      SiC                                   T[K]
     2.1544347E-003         1.6370103E+003         1.5579543E+003         1.7692161E+003         1.9856903E+003         1.7770141E+003         1.8018427E+002         1.5425001E+003         1.4992929E+003         1.2301275E+002         1.0277970E+002
     1.9573418E-003         1.6336981E+003         1.5549570E+003         1.7653412E+003         1.9802235E+003         1.7726133E+003         1.7970458E+002         1.5377478E+003         1.4948069E+003         1.2301275E+002         1.0277970E+002
     1.7782794E-003         1.6303994E+003         1.5519715E+003         1.7614834E+003         1.9747871E+003         1.7682346E+003         1.7922747E+002         1.5330253E+003         1.4903480E+003         1.2301275E+002         1.0277970E+002
     1.6155981E-003         1.6271141E+003         1.5489974E+003         1.7576426E+003         1.9693809E+003         1.7638777E+003         1.7875293E+002         1.5283321E+003         1.4859162E+003         1.2301275E+002         1.0277970E+002
     1.4677993E-003         1.6238422E+003         1.5460349E+003         1.7538187E+003         1.9640047E+003         1.7595425E+003         1.7828092E+002         1.5236680E+003         1.4815110E+003         1.2301275E+002         1.0277970E+002
     1.3335214E-003         1.6205417E+003         1.5430459E+003         1.7499628E+003         1.9585896E+003         1.7551734E+003         1.7780541E+002         1.5189733E+003         1.4770761E+003         1.2301275E+002         1.0277970E+002
     1.2115277E-003         1.6172548E+003         1.5400685E+003         1.7461239E+003         1.9532046E+003         1.7508263E+003         1.7733247E+002         1.5143079E+003         1.4726680E+003         1.2301275E+002         1.0277970E+002
     1.1006942E-003         1.6139812E+003         1.5371028E+003         1.7423021E+003         1.9478497E+003         1.7465010E+003         1.7686207E+002         1.5096716E+003         1.4682866E+003         1.2301275E+002         1.0277970E+002
     1.0000000E-003         1.6107211E+003         1.5341485E+003         1.7384971E+003         1.9425244E+003         1.7421972E+003         1.7639419E+002         1.5050640E+003         1.4639317E+003         1.2301275E+002         1.0277970E+002
     9.0851758E-004         1.6074742E+003         1.5312057E+003         1.7347089E+003         1.9372286E+003         1.7379149E+003         1.7592882E+002         1.5004848E+003         1.4596028E+003         1.2301275E+002         1.0277970E+002
     8.2540419E-004         1.6042406E+003         1.5282743E+003         1.7309374E+003         1.9319620E+003         1.7336538E+003         1.7546593E+002         1.4959339E+003         1.4552999E+003         1.2301275E+002         1.0277970E+002
     7.4989421E-004         1.6010200E+003         1.5253541E+003         1.7271824E+003         1.9267243E+003         1.7294139E+003         1.7500550E+002         1.4914110E+003         1.4510227E+003         1.2301275E+002         1.0277970E+002
     6.8129207E-004         1.5978125E+003         1.5224453E+003         1.7234439E+003         1.9215154E+003         1.7251949E+003         1.7454751E+002         1.4869158E+003         1.4467709E+003         1.2301275E+002         1.0277970E+002
     6.1896582E-004         1.5946180E+003         1.5195476E+003         1.7197217E+003         1.9163350E+003         1.7209967E+003         1.7409195E+002         1.4824480E+003         1.4425444E+003         1.2301275E+002         1.0277970E+002
     5.6234133E-004         1.5914363E+003         1.5166610E+003         1.7160157E+003         1.9111828E+003         1.7168191E+003         1.7363880E+002         1.4780074E+003         1.4383428E+003         1.2301275E+002         1.0277970E+002
     5.1089698E-004         1.5882484E+003         1.5137681E+003         1.7123036E+003         1.9060277E+003         1.7126370E+003         1.7318530E+002         1.4735671E+003         1.4341409E+003         1.2301275E+002         1.0277970E+002
     4.6415888E-004         1.5850732E+003         1.5108864E+003         1.7086076E+003         1.9009007E+003         1.7084754E+003         1.7273421E+002         1.4691538E+003         1.4299637E+003         1.2301275E+002         1.0277970E+002
     4.2169650E-004         1.5819109E+003         1.5080157E+003         1.7049278E+003         1.8958016E+003         1.7043343E+003         1.7228548E+002         1.4647673E+003         1.4258112E+003         1.2301275E+002         1.0277970E+002
     3.8311868E-004         1.5787613E+003         1.5051560E+003         1.7012640E+003         1.8907302E+003         1.7002134E+003         1.7183912E+002         1.4604073E+003         1.4216831E+003         1.2301275E+002         1.0277970E+002
     3.4807006E-004         1.5756244E+003         1.5023072E+003         1.6976160E+003         1.8856863E+003         1.6961126E+003         1.7139509E+002         1.4560736E+003         1.4175792E+003         1.2301275E+002         1.0277970E+002
     3.1622777E-004         1.5725000E+003         1.4994693E+003         1.6939838E+003         1.8806695E+003         1.6920319E+003         1.7095338E+002         1.4517659E+003         1.4134993E+003         1.2301275E+002         1.0277970E+002
     2.8729848E-004         1.5693881E+003         1.4966422E+003         1.6903673E+003         1.8756797E+003         1.6879710E+003         1.7051397E+002         1.4474840E+003         1.4094432E+003         1.2301275E+002         1.0277970E+002
     2.6101572E-004         1.5662887E+003         1.4938259E+003         1.6867664E+003         1.8707167E+003         1.6839297E+003         1.7007685E+002         1.4432277E+003         1.4054106E+003         1.2301275E+002         1.0277970E+002
     2.3713737E-004         1.5632016E+003         1.4910202E+003         1.6831810E+003         1.8657803E+003         1.6799080E+003         1.6964199E+002         1.4389967E+003         1.4014014E+003         1.2301275E+002         1.0277970E+002
     2.1544347E-004         1.5601267E+003         1.4882252E+003         1.6796109E+003         1.8608702E+003         1.6759058E+003         1.6920938E+002         1.4347909E+003         1.3974153E+003         1.2301275E+002         1.0277970E+002
     1.9573418E-004         1.5570560E+003         1.4854334E+003         1.6760469E+003         1.8559734E+003         1.6719123E+003         1.6877787E+002         1.4305990E+003         1.3934418E+003         1.2301275E+002         1.0277970E+002
     1.7782794E-004         1.5539976E+003         1.4826522E+003         1.6724980E+003         1.8511027E+003         1.6679381E+003         1.6834859E+002         1.4264319E+003         1.3894911E+003         1.2301275E+002         1.0277970E+002
     1.6155981E-004         1.5509512E+003         1.4798815E+003         1.6689644E+003         1.8462578E+003         1.6639829E+003         1.6792151E+002         1.4222893E+003         1.3855631E+003         1.2301275E+002         1.0277970E+002
     1.4677993E-004         1.5479169E+003         1.4771212E+003         1.6654458E+003         1.8414386E+003         1.6600467E+003         1.6749663E+002         1.4181711E+003         1.3816576E+003         1.2301275E+002         1.0277970E+002
     1.3335214E-004         1.5448945E+003         1.4743713E+003         1.6619421E+003         1.8366448E+003         1.6561293E+003         1.6707391E+002         1.4140771E+003         1.3777744E+003         1.2301275E+002         1.0277970E+002
     1.2115277E-004         1.5418840E+003         1.4716317E+003         1.6584534E+003         1.8318763E+003         1.6522306E+003         1.6665336E+002         1.4100070E+003         1.3739133E+003         1.2301275E+002         1.0277970E+002
     1.1006942E-004         1.5388854E+003         1.4689024E+003         1.6549794E+003         1.8271327E+003         1.6483504E+003         1.6623494E+002         1.4059605E+003         1.3700740E+003         1.2301275E+002         1.0277970E+002
     1.0000000E-004         1.5358985E+003         1.4661832E+003         1.6515201E+003         1.8224140E+003         1.6444886E+003         1.6581864E+002         1.4019376E+003         1.3662565E+003         1.2301275E+002         1.0277970E+002
     9.0851758E-005         1.5329234E+003         1.4634743E+003         1.6480754E+003         1.8177200E+003         1.6406451E+003         1.6540446E+002         1.3979380E+003         1.3624604E+003         1.2301275E+002         1.0277970E+002
     8.2540419E-005         1.5299598E+003         1.4607754E+003         1.6446452E+003         1.8130504E+003         1.6368197E+003         1.6499236E+002         1.3939615E+003         1.3586857E+003         1.2301275E+002         1.0277970E+002
     7.4989421E-005         1.5270042E+003         1.4580832E+003         1.6412252E+003         1.8083993E+003         1.6330077E+003         1.6458184E+002         1.3900030E+003         1.3549276E+003         1.2301275E+002         1.0277970E+002
     6.8129207E-005         1.5240601E+003         1.4554011E+003         1.6378196E+003         1.8037724E+003         1.6292136E+003         1.6417338E+002         1.3860673E+003         1.3511906E+003         1.2301275E+002         1.0277970E+002
     6.1896582E-005         1.5211274E+003         1.4527289E+003         1.6344282E+003         1.7991694E+003         1.6254374E+003         1.6376697E+002         1.3821542E+003         1.3474743E+003         1.2301275E+002         1.0277970E+002
     5.6234133E-005         1.5182061E+003         1.4500666E+003         1.6310510E+003         1.7945902E+003         1.6216787E+003         1.6336259E+002         1.3782634E+003         1.3437788E+003         1.2301275E+002         1.0277970E+002
     5.1089698E-005         1.5152962E+003         1.4474141E+003         1.6276878E+003         1.7900345E+003         1.6179377E+003         1.6296023E+002         1.3743947E+003         1.3401037E+003         1.2301275E+002         1.0277970E+002
     4.6415888E-005         1.5123974E+003         1.4447714E+003         1.6243387E+003         1.7855022E+003         1.6142141E+003         1.6255987E+002         1.3705481E+003         1.3364490E+003         1.2301275E+002         1.0277970E+002
     4.2169650E-005         1.5095099E+003         1.4421384E+003         1.6210034E+003         1.7809930E+003         1.6105078E+003         1.6216150E+002         1.3667232E+003         1.3328145E+003         1.2301275E+002         1.0277970E+002
     3.8311868E-005         1.5066335E+003         1.4395151E+003         1.6176820E+003         1.7765069E+003         1.6068186E+003         1.6176511E+002         1.3629199E+003         1.3291999E+003         1.2301275E+002         1.0277970E+002
     3.4807006E-005         1.5037681E+003         1.4369014E+003         1.6143743E+003         1.7720437E+003         1.6031465E+003         1.6137067E+002         1.3591380E+003         1.3256052E+003         1.2301275E+002         1.0277970E+002
     3.1622777E-005         1.5009137E+003         1.4342973E+003         1.6110802E+003         1.7676031E+003         1.5994914E+003         1.6097817E+002         1.3553774E+003         1.3220301E+003         1.2301275E+002         1.0277970E+002
     2.8729848E-005         1.4980680E+003         1.4317007E+003         1.6077972E+003         1.7631816E+003         1.5958503E+003         1.6058730E+002         1.3516349E+003         1.3184718E+003         1.2301275E+002         1.0277970E+002
     2.6101572E-005         1.4952332E+003         1.4291136E+003         1.6045277E+003         1.7587824E+003         1.5922259E+003         1.6019835E+002         1.3479134E+003         1.3149329E+003         1.2301275E+002         1.0277970E+002
     2.3713737E-005         1.4924093E+003         1.4265358E+003         1.6012716E+003         1.7544054E+003         1.5886182E+003         1.5981130E+002         1.3442125E+003         1.3114131E+003         1.2301275E+002         1.0277970E+002
     2.1544347E-005         1.4895960E+003         1.4239675E+003         1.5980288E+003         1.7500504E+003         1.5850270E+003         1.5942615E+002         1.3405322E+003         1.3079125E+003         1.2301275E+002         1.0277970E+002
     1.9573418E-005         1.4867935E+003         1.4214085E+003         1.5947992E+003         1.7457173E+003         1.5814521E+003         1.5904286E+002         1.3368724E+003         1.3044307E+003         1.2301275E+002         1.0277970E+002
     1.7782794E-005         1.4840016E+003         1.4188587E+003         1.5915828E+003         1.7414059E+003         1.5778935E+003         1.5866144E+002         1.3332327E+003         1.3009677E+003         1.2301275E+002         1.0277970E+002
     1.6155981E-005         1.4812203E+003         1.4163181E+003         1.5883795E+003         1.7371159E+003         1.5743511E+003         1.5828187E+002         1.3296130E+003         1.2975232E+003         1.2301275E+002         1.0277970E+002
     1.4677993E-005         1.4784494E+003         1.4137868E+003         1.5851892E+003         1.7328474E+003         1.5708248E+003         1.5790413E+002         1.3260133E+003         1.2940972E+003         1.2301275E+002         1.0277970E+002
     1.3335214E-005         1.4756891E+003         1.4112645E+003         1.5820119E+003         1.7286000E+003         1.5673143E+003         1.5752821E+002         1.3224332E+003         1.2906895E+003         1.2301275E+002         1.0277970E+002
     1.2115277E-005         1.4729391E+003         1.4087513E+003         1.5788473E+003         1.7243736E+003         1.5638198E+003         1.5715410E+002         1.3188727E+003         1.2873000E+003         1.2301275E+002         1.0277970E+002
     1.1006942E-005         1.4701973E+003         1.4062452E+003         1.5756931E+003         1.7201649E+003         1.5603382E+003         1.5678150E+002         1.3153289E+003         1.2839258E+003         1.2301275E+002         1.0277970E+002
     1.0000000E-005         1.4674658E+003         1.4037481E+003         1.5725517E+003         1.7159770E+003         1.5568724E+003         1.5641068E+002         1.3118043E+003         1.2805695E+003         1.2301275E+002         1.0277970E+002
     9.0851758E-006         1.4647446E+003         1.4012599E+003         1.5694228E+003         1.7118096E+003         1.5534220E+003         1.5604163E+002         1.3082988E+003         1.2772310E+003         1.2301275E+002         1.0277970E+002
     8.2540419E-006         1.4620335E+003         1.3987806E+003         1.5663065E+003         1.7076627E+003         1.5499871E+003         1.5567434E+002         1.3048123E+003         1.2739100E+003         1.2301275E+002         1.0277970E+002
     7.4989421E-006         1.4593325E+003         1.3963101E+003         1.5632027E+003         1.7035361E+003         1.5465676E+003         1.5530880E+002         1.3013445E+003         1.2706066E+003         1.2301275E+002         1.0277970E+002
     6.8129207E-006         1.4566416E+003         1.3938484E+003         1.5601113E+003         1.6994297E+003         1.5431632E+003         1.5494499E+002         1.2978954E+003         1.2673204E+003         1.2301275E+002         1.0277970E+002
     6.1896582E-006         1.4539607E+003         1.3913955E+003         1.5570322E+003         1.6953432E+003         1.5397740E+003         1.5458290E+002         1.2944648E+003         1.2640514E+003         1.2301275E+002         1.0277970E+002
     5.6234133E-006         1.4512897E+003         1.3889513E+003         1.5539653E+003         1.6912766E+003         1.5363998E+003         1.5422252E+002         1.2910525E+003         1.2607995E+003         1.2301275E+002         1.0277970E+002
     5.1089698E-006         1.4486286E+003         1.3865157E+003         1.5509107E+003         1.6872296E+003         1.5330405E+003         1.5386384E+002         1.2876584E+003         1.2575644E+003         1.2301275E+002         1.0277970E+002
     4.6415888E-006         1.4459774E+003         1.3840887E+003         1.5478681E+003         1.6832023E+003         1.5296961E+003         1.5350684E+002         1.2842824E+003         1.2543462E+003         1.2301275E+002         1.0277970E+002
     4.2169650E-006         1.4433331E+003         1.3816677E+003         1.5448344E+003         1.6791901E+003         1.5263628E+003         1.5315114E+002         1.2809207E+003         1.2511412E+003         1.2301275E+002         1.0277970E+002
     3.8311868E-006         1.4406986E+003         1.3792553E+003         1.5418127E+003         1.6751973E+003         1.5230443E+003         1.5279711E+002         1.2775767E+003         1.2479528E+003         1.2301275E+002         1.0277970E+002
     3.4807006E-006         1.4380738E+003         1.3768513E+003         1.5388029E+003         1.6712236E+003         1.5197402E+003         1.5244472E+002         1.2742505E+003         1.2447808E+003         1.2301275E+002         1.0277970E+002
     3.1622777E-006         1.4354586E+003         1.3744558E+003         1.5358050E+003         1.6672690E+003         1.5164507E+003         1.5209398E+002         1.2709417E+003         1.2416251E+003         1.2301275E+002         1.0277970E+002
     2.8729848E-006         1.4328530E+003         1.3720687E+003         1.5328188E+003         1.6633332E+003         1.5131755E+003         1.5174487E+002         1.2676503E+003         1.2384855E+003         1.2301275E+002         1.0277970E+002
     2.6101572E-006         1.4302569E+003         1.3696899E+003         1.5298443E+003         1.6594163E+003         1.5099146E+003         1.5139737E+002         1.2643762E+003         1.2353620E+003         1.2301275E+002         1.0277970E+002
     2.3713737E-006         1.4276703E+003         1.3673195E+003         1.5268815E+003         1.6555179E+003         1.5066679E+003         1.5105149E+002         1.2611191E+003         1.2322545E+003         1.2301275E+002         1.0277970E+002
     2.1544347E-006         1.4250932E+003         1.3649573E+003         1.5239302E+003         1.6516381E+003         1.5034352E+003         1.5070719E+002         1.2578790E+003         1.2291627E+003         1.2301275E+002         1.0277970E+002
     1.9573418E-006         1.4225254E+003         1.3626033E+003         1.5209905E+003         1.6477766E+003         1.5002166E+003         1.5036449E+002         1.2546557E+003         1.2260866E+003         1.2301275E+002         1.0277970E+002
     1.7782794E-006         1.4199669E+003         1.3602575E+003         1.5180621E+003         1.6439334E+003         1.4970119E+003         1.5002335E+002         1.2514492E+003         1.2230260E+003         1.2301275E+002         1.0277970E+002
     1.6155981E-006         1.4174136E+003         1.3579160E+003         1.5151404E+003         1.6401020E+003         1.4938158E+003         1.4968323E+002         1.2482540E+003         1.2199760E+003         1.2301275E+002         1.0277970E+002
     1.4677993E-006         1.4148695E+003         1.3555827E+003         1.5122301E+003         1.6362887E+003         1.4906334E+003         1.4934466E+002         1.2450753E+003         1.2169413E+003         1.2301275E+002         1.0277970E+002
     1.3335214E-006         1.4123346E+003         1.3532574E+003         1.5093310E+003         1.6324933E+003         1.4874648E+003         1.4900764E+002         1.2419129E+003         1.2139219E+003         1.2301275E+002         1.0277970E+002
     1.2115277E-006         1.4098089E+003         1.3509402E+003         1.5064431E+003         1.6287156E+003         1.4843097E+003         1.4867216E+002         1.2387668E+003         1.2109176E+003         1.2301275E+002         1.0277970E+002
     1.1006942E-006         1.4072923E+003         1.3486310E+003         1.5035663E+003         1.6249557E+003         1.4811682E+003         1.4833820E+002         1.2356368E+003         1.2079284E+003         1.2301275E+002         1.0277970E+002
     1.0000000E-006         1.4047847E+003         1.3463297E+003         1.5007007E+003         1.6212132E+003         1.4780400E+003         1.4800575E+002         1.2325228E+003         1.2049540E+003         1.2301275E+002         1.0277970E+002
     9.0851758E-007         1.4022861E+003         1.3440363E+003         1.4978460E+003         1.6174882E+003         1.4749252E+003         1.4767481E+002         1.2294247E+003         1.2019945E+003         1.2301275E+002         1.0277970E+002
     8.2540419E-007         1.3997965E+003         1.3417508E+003         1.4950023E+003         1.6137804E+003         1.4718236E+003         1.4734536E+002         1.2263423E+003         1.1990496E+003         1.2301275E+002         1.0277970E+002
     7.4989421E-007         1.3973158E+003         1.3394732E+003         1.4921695E+003         1.6100898E+003         1.4687352E+003         1.4701740E+002         1.2232755E+003         1.1961193E+003         1.2301275E+002         1.0277970E+002
     6.8129207E-007         1.3948439E+003         1.3372033E+003         1.4893475E+003         1.6064162E+003         1.4656599E+003         1.4669091E+002         1.2202242E+003         1.1932035E+003         1.2301275E+002         1.0277970E+002
     6.1896582E-007         1.3923746E+003         1.3349353E+003         1.4865290E+003         1.6027502E+003         1.4625897E+003         1.4636505E+002         1.2171805E+003         1.1902946E+003         1.2301275E+002         1.0277970E+002
     5.6234133E-007         1.3899140E+003         1.3326751E+003         1.4837213E+003         1.5991011E+003         1.4595325E+003         1.4604065E+002         1.2141521E+003         1.1874001E+003         1.2301275E+002         1.0277970E+002
     5.1089698E-007         1.3874622E+003         1.3304227E+003         1.4809243E+003         1.5954687E+003         1.4564881E+003         1.4571770E+002         1.2111390E+003         1.1845197E+003         1.2301275E+002         1.0277970E+002
     4.6415888E-007         1.3850191E+003         1.3281778E+003         1.4781379E+003         1.5918530E+003         1.4534566E+003         1.4539620E+002         1.2081410E+003         1.1816535E+003         1.2301275E+002         1.0277970E+002
     4.2169650E-007         1.3825847E+003         1.3259407E+003         1.4753621E+003         1.5882539E+003         1.4504378E+003         1.4507612E+002         1.2051580E+003         1.1788013E+003         1.2301275E+002         1.0277970E+002
     3.8311868E-007         1.3801589E+003         1.3237111E+003         1.4725968E+003         1.5846711E+003         1.4474317E+003         1.4475747E+002         1.2021898E+003         1.1759630E+003         1.2301275E+002         1.0277970E+002
     3.4807006E-007         1.3777417E+003         1.3214890E+003         1.4698419E+003         1.5811047E+003         1.4444381E+003         1.4444023E+002         1.1992365E+003         1.1731385E+003         1.2301275E+002         1.0277970E+002
     3.1622777E-007         1.3753330E+003         1.3192745E+003         1.4670974E+003         1.5775545E+003         1.4414571E+003         1.4412440E+002         1.1962977E+003         1.1703277E+003         1.2301275E+002         1.0277970E+002
     2.8729848E-007         1.3729328E+003         1.3170674E+003         1.4643633E+003         1.5740204E+003         1.4384884E+003         1.4380995E+002         1.1933736E+003         1.1675305E+003         1.2301275E+002         1.0277970E+002
     2.6101572E-007         1.3705411E+003         1.3148678E+003         1.4616394E+003         1.5705023E+003         1.4355320E+003         1.4349690E+002         1.1904639E+003         1.1647468E+003         1.2301275E+002         1.0277970E+002
     2.3713737E-007         1.3681481E+003         1.3126667E+003         1.4589147E+003         1.5669859E+003         1.4325760E+003         1.4318395E+002         1.1875568E+003         1.1619653E+003         1.2301275E+002         1.0277970E+002
     2.1544347E-007         1.3657635E+003         1.3104730E+003         1.4562003E+003         1.5634853E+003         1.4296323E+003         1.4287238E+002         1.1846640E+003         1.1591972E+003         1.2301275E+002         1.0277970E+002
     1.9573418E-007         1.3633872E+003         1.3082867E+003         1.4534961E+003         1.5600006E+003         1.4267008E+003         1.4256219E+002         1.1817855E+003         1.1564425E+003         1.2301275E+002         1.0277970E+002
     1.7782794E-007         1.3610193E+003         1.3061078E+003         1.4508020E+003         1.5565315E+003         1.4237814E+003         1.4225335E+002         1.1789211E+003         1.1537009E+003         1.2301275E+002         1.0277970E+002
     1.6155981E-007         1.3586597E+003         1.3039361E+003         1.4481179E+003         1.5530780E+003         1.4208741E+003         1.4194586E+002         1.1760707E+003         1.1509725E+003         1.2301275E+002         1.0277970E+002
     1.4677993E-007         1.3563083E+003         1.3017717E+003         1.4454439E+003         1.5496400E+003         1.4179787E+003         1.4163971E+002         1.1732342E+003         1.1482571E+003         1.2301275E+002         1.0277970E+002
     1.3335214E-007         1.3539652E+003         1.2996146E+003         1.4427798E+003         1.5462173E+003         1.4150952E+003         1.4133489E+002         1.1704116E+003         1.1455547E+003         1.2301275E+002         1.0277970E+002
     1.2115277E-007         1.3516301E+003         1.2974647E+003         1.4401256E+003         1.5428099E+003         1.4122236E+003         1.4103140E+002         1.1676027E+003         1.1428651E+003         1.2301275E+002         1.0277970E+002
     1.1006942E-007         1.3493032E+003         1.2953219E+003         1.4374812E+003         1.5394176E+003         1.4093637E+003         1.4072922E+002         1.1648074E+003         1.1401882E+003         1.2301275E+002         1.0277970E+002
     1.0000000E-007         1.3469844E+003         1.2931862E+003         1.4348466E+003         1.5360404E+003         1.4065154E+003         1.4042835E+002         1.1620256E+003         1.1375240E+003         1.2301275E+002         1.0277970E+002
