   6885479089.19885       -105620814.801147       1.571326609619651E-002  3.807156214369205E-006
   6902667185.05854       -88432718.9414616       6.019647706698686E-003  5.596137142311864E-007
   6925710890.30507       -65389013.6949291       2.305846845401254E-003  1.145310465623015E-008
   6948914684.77293       -42185219.2270679       8.831058956265759E-004  1.853627420185975E-009
   6972282021.34684       -18817882.6531630       3.382307549209011E-004  3.850484697194269E-010
   6995812149.36590        4712245.36590290       1.295655821626451E-004  9.061933407212476E-011
   7019503823.64712        28403919.6471233       4.963626115760095E-005  1.934230624687118E-011
   7043357821.87867        52257917.8786697       1.901552655186877E-005  2.800194330933194E-012
   7067376157.13211        76276253.1321058       7.284594775384045E-006  1.323926526092833E-014
   7091561075.44845        100461171.448450       2.790581826290503E-006  7.818196399784932E-018
   7115852624.07032        124752720.070316       1.074448079159973E-006  7.359187304482949E-019
   7139842184.52631        148742280.526308       4.258124999184589E-007  7.674381661209834E-016
   7162971205.89727        171871301.897265       1.719792481995074E-007  7.834939730751151E-015
   7185183438.79294        194083534.792937       6.861091194520903E-008  1.570766456319585E-015
   7206846683.04293        215746779.042928       2.685731554167952E-008  8.068369551374483E-017
   7228304543.91546        237204639.915457       1.038700086374665E-008  2.496335719640683E-018
   7249748818.80225        258648914.802253       3.994112398472009E-009  6.171822664539185E-019
   7271268070.36241        280168166.362411       1.532008540923029E-009  1.632427485469054E-019
   7292902475.73503        301802571.735030       5.869391586046463E-010  1.992509691197819E-020
   7314673757.68384        323573853.683838       2.247004678257667E-010  1.249841731244657E-021
   7336599419.96362        345499515.963618       8.595941332746206E-011  6.254705386694266E-023
   7358700494.57337        367600590.573372       3.285048528898298E-011  2.643789584414004E-024
   7381007833.78562        389907929.785625       1.253462606396569E-011  9.128302384311417E-026
   7403569816.69516        412469912.695164       4.770973663230133E-012  2.097827539419384E-027
   7420690593.53053        429590689.530528       1.808846108638586E-012  1.671186921386586E-032
