#            P[bar]       dens[g/cm^3]                 xn                   TiO2                     VO                  Al2O3                   SiO2            Mg1.2SiO3.2                    H2O                     Fe                    FeS                      C                    SiC                    MgO          r[micron]               T[K]              Jstar
     2.6101572E-001     4.0961798E-006     2.8830019E-014         9.8222369E-014         9.2032704E-015         2.9621700E-012         1.6613412E-010         1.1786761E-011         0.0000000E+000         1.7098670E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.3682879E-006     1.7861039E+003     8.8714194E-007
     2.3713737E-001     3.7214137E-006     3.3358887E-014         5.0332479E-014         4.7160965E-015         1.5179430E-012         8.5149858E-011         6.0396887E-012         0.0000000E+000         8.7612068E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0597763E-006     1.7860981E+003     9.7959499E-007
     2.1544347E-001     3.3809355E-006     3.8599566E-014         2.5784992E-014         2.4160323E-015         7.7763924E-013         4.3625934E-011         3.0940023E-012         0.0000000E+000         4.4879977E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     8.2073687E-007     1.7860923E+003     1.0798067E-006
     1.9573418E-001     3.0716082E-006     4.4677251E-014         1.3211569E-014         1.2379151E-015         3.9844440E-013         2.2353789E-011         1.5852511E-012         0.0000000E+000         2.2993932E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     6.3557846E-007     1.7860865E+003     1.1882053E-006
     1.7782794E-001     2.7905818E-006     5.1749634E-014         6.7737420E-015         6.3469570E-016         2.0428817E-013         1.1461268E-011         8.1276258E-013         0.0000000E+000         1.1788602E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.9217877E-007     1.7860807E+003     1.3052178E-006
     1.6155981E-001     2.5365523E-006     6.0047069E-014         4.1187207E-015         3.8592195E-016         1.2421601E-013         6.9532054E-012         4.9299097E-013         0.0000000E+000         7.1083322E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.0155231E-007     1.7851629E+003     1.4319887E-006
     1.4677993E-001     2.3056474E-006     6.9824920E-014         2.5099390E-015         2.3518006E-016         7.5697050E-014         4.2276818E-012         2.9969602E-013         0.0000000E+000         4.2957459E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     3.2762063E-007     1.7842455E+003     1.5683472E-006
     1.3335214E-001     2.0957620E-006     8.1486252E-014         1.5351579E-015         1.4384361E-016         4.6298756E-014         2.5799244E-012         1.8285700E-013         0.0000000E+000         2.6055340E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.6730713E-007     1.7833286E+003     1.7147106E-006
     1.2115277E-001     1.9049827E-006     9.5625396E-014         9.4426550E-016         8.8477284E-017         2.8478088E-014         1.5832945E-012         1.1220000E-013         0.0000000E+000         1.5892940E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.1810263E-007     1.7824121E+003     1.8714813E-006
     1.1006942E-001     1.7315702E-006     1.1267096E-013         5.8320748E-016         5.4646318E-017         1.7588963E-014         9.7567134E-013         6.9129184E-014         0.0000000E+000         9.7341438E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.7796023E-007     1.7814962E+003     2.0390419E-006
     1.0000000E-001     1.5739436E-006     1.3290227E-013         3.6063946E-016         3.3791792E-017         1.0876542E-014         6.0195769E-013         4.2643281E-014         0.0000000E+000         5.9691231E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.4521025E-007     1.7805807E+003     2.2177513E-006
     9.0851758E-002     1.4306659E-006     1.5638372E-013         2.2248615E-016         2.0846884E-017         6.7099781E-015         3.7051648E-013         2.6243319E-014         0.0000000E+000         3.6517492E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1849071E-007     1.7796656E+003     2.4079393E-006
     8.2540419E-002     1.3004310E-006     1.8299513E-013         1.8483692E-016         1.7319170E-017         5.5745184E-015         3.0711745E-013         2.1749150E-014         0.0000000E+000         3.0084680E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1040931E-007     1.7787511E+003     2.6099023E-006
     7.4989421E-002     1.1820514E-006     2.1258472E-013         1.7337405E-016         1.6245110E-017         5.2288154E-015         2.8741590E-013         2.0350487E-014         0.0000000E+000         2.7983208E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0785709E-007     1.7778370E+003     2.8238979E-006
     6.8129207E-002     1.0744481E-006     2.4514025E-013         1.6408302E-016         1.5374551E-017         4.9486130E-015         2.7139451E-013         1.9212807E-014         0.0000000E+000         2.6262240E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0565090E-007     1.7769233E+003     3.0501397E-006
     6.1896582E-002     9.7946457E-007     2.8004389E-013         2.0867217E-016         1.9552558E-017         6.2933961E-015         3.3998871E-013         2.4042926E-014         0.0000000E+000         3.1601526E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0663471E-007     1.7709234E+003     3.2983079E-006
     5.6234133E-002     8.9287781E-007     3.1812357E-013         2.6407841E-016         2.4744132E-017         7.9644207E-015         4.2381227E-013         2.9938321E-014         0.0000000E+000         3.7832955E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0763142E-007     1.7649437E+003     3.5604809E-006
     5.1089698E-002     8.1394550E-007     3.5997852E-013         3.3307231E-016         3.1208878E-017         1.0045248E-014         5.2649938E-013         3.7151885E-014         0.0000000E+000         4.5132346E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0863773E-007     1.7589842E+003     3.8368265E-006
     4.6415888E-002     7.4199097E-007     4.0597275E-013         4.1879533E-016         3.9241155E-017         1.2630626E-014         6.5201544E-013         4.5958716E-014         0.0000000E+000         5.3663757E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0964915E-007     1.7530448E+003     4.1274485E-006
     4.2169650E-002     6.7639739E-007     4.5616329E-013         5.5435636E-016         5.1943277E-017         1.6719106E-014         8.5000145E-013         5.9848695E-014         0.0000000E+000         6.7160782E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1168113E-007     1.7471255E+003     4.4323820E-006
     3.8311868E-002     6.1660241E-007     5.1087282E-013         7.3741118E-016         6.9095605E-017         2.2240002E-014         1.1135067E-012         7.8316038E-014         0.0000000E+000         8.4450293E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1526962E-007     1.7412261E+003     4.7515874E-006
     3.4807006E-002     5.6209344E-007     5.7029331E-013         1.0314411E-015         9.6646375E-017         3.1107901E-014         1.5337612E-012         1.0775475E-013         0.0000000E+000         1.1163943E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.2282831E-007     1.7353467E+003     5.0849452E-006
     3.1622777E-002     5.1240317E-007     6.3473252E-013         1.5456976E-015         1.4483253E-016         4.6617829E-014         2.2633177E-012         1.5883387E-013         0.0000000E+000         1.5808700E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.3404608E-007     1.7294871E+003     5.4322512E-006
     2.8729848E-002     4.6710564E-007     7.0468723E-013         2.2890136E-015         2.1448181E-016         6.9036260E-014         3.3003087E-012         2.3134977E-013         0.0000000E+000         2.2117442E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.4581845E-007     1.7236473E+003     5.7932122E-006
     2.6101572E-002     4.2581250E-007     7.8019618E-013         3.3421264E-015         3.1315943E-016         1.0079831E-013         4.7445226E-012         3.3221625E-013         0.0000000E+000         3.0502834E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.5800817E-007     1.7178273E+003     6.1674415E-006
     2.3713737E-002     3.8890558E-007     8.5790949E-013         8.9652146E-015         8.4004710E-016         2.7039079E-013         1.2422012E-011         8.6830889E-013         0.0000000E+000         7.4846757E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.0690023E-007     1.7088102E+003     6.5670155E-006
     2.1544347E-002     3.5519753E-007     9.4933184E-013         2.3797520E-014         2.2298443E-015         7.1773227E-013         3.2177825E-011         2.2454482E-012         0.0000000E+000         1.8165058E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.6934292E-007     1.6998404E+003     6.9803477E-006
     1.9573418E-002     3.2441109E-007     1.0618425E-012         6.3998331E-014         5.9966693E-015         1.9301684E-012         8.4429924E-011         5.8822515E-012         0.0000000E+000         4.4644481E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     3.5081546E-007     1.6909178E+003     7.4068251E-006
     1.7782794E-002     2.9629305E-007     1.1949262E-012         1.7712181E-013         1.6596183E-014         5.3417429E-012         2.2790077E-010         1.5856516E-011         0.0000000E+000         1.1287003E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.6027195E-007     1.6820420E+003     7.8457260E-006
     1.6155981E-002     2.7061211E-007     1.3489802E-012         4.9898338E-013         4.6752588E-014         1.5046937E-011         6.2569790E-010         4.3508438E-011         0.0000000E+000         2.9036964E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     6.0662996E-007     1.6732127E+003     8.2962189E-006
     1.4677993E-002     2.4715704E-007     1.5247667E-012         1.3749404E-012         1.2881194E-013         4.1448314E-011         1.6771325E-009         1.1678909E-010         0.0000000E+000         7.3056332E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     7.9297705E-007     1.6644299E+003     8.7573616E-006
     1.3335214E-002     2.2573492E-007     1.7229816E-012         3.5421002E-012         3.3175110E-013         1.0669144E-010         4.1859000E-009         2.9328256E-010         0.0000000E+000         1.7191546E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0129732E-006     1.6556931E+003     9.2281019E-006
     1.2115277E-002     2.0616955E-007     1.9441959E-012         8.2099667E-012         7.6846524E-013         2.4684398E-010         9.3283229E-009         6.6358647E-010         0.0000000E+000         3.6444812E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.2484538E-006     1.6470021E+003     9.7072787E-006
     1.1006942E-002     1.8829998E-007     2.1894010E-012         1.6780639E-011         1.5688310E-012         5.0278475E-010         1.8118074E-008         1.3273613E-009         0.0000000E+000         6.8300853E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.4742924E-006     1.6383568E+003     1.0193624E-005
     1.0000000E-002     1.7197925E-007     2.4591915E-012         3.1460561E-011         2.9349829E-012         9.3676532E-010         3.1699785E-008         2.4461606E-009         0.0000000E+000         1.1795110E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.6894997E-006     1.6297569E+003     1.0685769E-005
     9.0851758E-003     1.5688007E-007     2.7470704E-012         4.3188270E-011         4.0208301E-012         1.2783316E-009         4.1030871E-008         3.3203938E-009         0.0000000E+000         1.5230742E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.7677988E-006     1.6231820E+003     1.1168859E-005
     8.2540419E-003     1.4310654E-007     3.0713064E-012         5.8401138E-011         5.4218226E-012         1.7145281E-009         5.1669589E-008         4.4564786E-009         0.0000000E+000         1.9450758E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.8376792E-006     1.6166336E+003     1.1653540E-005
     7.4989421E-003     1.3054228E-007     3.4306097E-012         7.4843642E-011         6.9243572E-012         2.1754405E-009         6.1160592E-008         5.6867015E-009         0.0000000E+000         2.3620047E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.8757628E-006     1.6101116E+003     1.2138162E-005
     6.8129207E-003     1.1908112E-007     3.8274219E-012         9.1740717E-011         8.4529208E-012         2.6353257E-009         6.8720445E-008         6.9642512E-009         0.0000000E+000         2.7532039E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.8862480E-006     1.6036159E+003     1.2621007E-005
     6.1896582E-003     1.0862621E-007     4.2636428E-012         1.0852634E-010         9.9518470E-012         3.0751062E-009         7.3962651E-008         8.2614915E-009         0.0000000E+000         3.1091783E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.8747017E-006     1.5971465E+003     1.3100296E-005
     5.6234133E-003     9.9089203E-008     4.7413027E-012         1.2259609E-010         1.1183787E-011         3.4226655E-009         7.5801895E-008         9.3814004E-009         0.0000000E+000         3.3611605E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.8360701E-006     1.5907031E+003     1.3574199E-005
     5.1089698E-003     9.0389513E-008     5.2653347E-012         1.3085028E-010         1.1875602E-011         3.6001189E-009         7.3695524E-008         1.0065282E-008         0.0000000E+000         3.4321508E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.7664589E-006     1.5842857E+003     1.4040849E-005
     4.6415888E-003     8.2453627E-008     5.8426551E-012         1.3266966E-010         1.1983297E-011         3.6009743E-009         6.8567153E-008         1.0241004E-008         0.0000000E+000         3.3220174E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.6723599E-006     1.5778943E+003     1.4498348E-005
     4.2169650E-003     7.5214483E-008     6.4777493E-012         1.2960025E-010         1.1655025E-011         3.4743352E-009         6.1908164E-008         1.0017741E-008         0.0000000E+000         3.0897982E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.5651450E-006     1.5715286E+003     1.4944785E-005
     3.8311868E-003     6.8610912E-008     7.1675985E-012         1.2372797E-010         1.1082112E-011         3.2791437E-009         5.4918654E-008         9.5599672E-009         0.0000000E+000         2.8023330E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.4551579E-006     1.5651886E+003     1.5378248E-005
     3.4807006E-003     6.2468364E-008     7.9275530E-012         8.8879226E-011         7.9691966E-012         2.3626686E-009         3.9780008E-008         6.7510729E-009         0.0000000E+000         1.9224652E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.2575858E-006     1.5618226E+003     1.5767228E-005
     3.1622777E-003     5.6875742E-008     8.8284858E-012         6.6239303E-011         5.9422912E-012         1.7634423E-009         2.9635683E-008         4.9603587E-009         0.0000000E+000         1.3725864E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0970350E-006     1.5584639E+003     1.6138005E-005
     2.8729848E-003     5.1783812E-008     9.8409686E-012         5.5613234E-011         4.9859924E-012         1.4779520E-009         2.4424310E-008         4.1289976E-009         0.0000000E+000         1.1108016E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     9.9403857E-007     1.5551125E+003     1.6488849E-005
     2.6101572E-003     4.7147748E-008     1.0943347E-011         4.8219597E-011         4.3197410E-012         1.2785706E-009         2.0725058E-008         3.5522345E-009         0.0000000E+000         9.2911141E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     9.1089107E-007     1.5517682E+003     1.6818098E-005
     2.3713737E-003     4.2926739E-008     1.2145196E-011         4.2442978E-011         3.7991535E-012         1.1227529E-009         1.7839856E-008         3.1027206E-009         0.0000000E+000         7.8897235E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     8.3935840E-007     1.5484311E+003     1.7124166E-005
     2.1544347E-003     3.9083625E-008     1.3458005E-011         3.7536016E-011         3.3573112E-012         9.9071206E-010         1.5435648E-008         2.7223742E-009         0.0000000E+000         6.7295277E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     7.7505630E-007     1.5451012E+003     1.7405560E-005
     1.9573418E-003     3.5584575E-008     1.4892495E-011         3.3298718E-011         2.9761276E-012         8.7699938E-010         1.3403828E-008         2.3954299E-009         0.0000000E+000         5.7557455E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     7.1673490E-007     1.5417785E+003     1.7660890E-005
     1.7782794E-003     3.2398785E-008     1.6454160E-011         2.9639095E-011         2.6471919E-012         7.7903015E-010         1.1684198E-008         2.1143825E-009         0.0000000E+000         4.9379648E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     6.6388411E-007     1.5384629E+003     1.7888881E-005
     1.6155981E-003     2.9498210E-008     1.8137560E-011         2.6471497E-011         2.3627055E-012         6.9442560E-010         1.0224347E-008         1.8723011E-009         0.0000000E+000         4.2496413E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     6.1609631E-007     1.5351545E+003     1.8088385E-005
     1.4677993E-003     2.6857316E-008     1.9913883E-011         2.3693373E-011         2.1133944E-012         6.2039287E-010         8.9689765E-009         1.6613027E-009         0.0000000E+000         3.6644119E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     5.7290909E-007     1.5318531E+003     1.8258387E-005
     1.3335214E-003     2.4423357E-008     2.1854841E-011         1.5911844E-011         1.4199042E-012         4.1715628E-010         6.0360672E-009         1.1074739E-009         0.0000000E+000         2.4112711E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.9013152E-007     1.5303923E+003     1.8376031E-005
     1.2115277E-003     2.2209977E-008     2.4136519E-011         1.0868101E-011         9.7008942E-013         2.8515531E-010         4.1211071E-009         7.5145109E-010         0.0000000E+000         1.6150805E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.2071947E-007     1.5289329E+003     1.8462352E-005
     1.1006942E-003     2.0197186E-008     2.6748968E-011         7.5442200E-012         6.7352250E-013         1.9805019E-010         2.8552819E-009         5.1842590E-010         0.0000000E+000         1.0999508E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     3.6262718E-007     1.5274749E+003     1.8516904E-005
     1.0000000E-003     1.8366806E-008     2.9751769E-011         5.3313738E-012         4.7602447E-013         1.4000820E-010         2.0118703E-009         3.6422180E-010         0.0000000E+000         7.6287277E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     3.1401742E-007     1.5260182E+003     1.8539402E-005
     9.0851758E-004     1.6702304E-008     3.3278441E-011         3.8465941E-012         3.4347906E-013         1.0103913E-010         1.4463008E-009         2.6130260E-010         0.0000000E+000         5.4029645E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.7328092E-007     1.5245630E+003     1.8529729E-005
     8.2540419E-004     1.5188649E-008     3.7384260E-011         2.9321348E-012         2.6183100E-013         7.7025759E-011         1.0976241E-009         1.9810256E-010         0.0000000E+000         4.0437452E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.4186190E-007     1.5231091E+003     1.8487937E-005
     7.4989421E-004     1.3812169E-008     4.2037728E-011         2.3423241E-012         2.0916361E-013         6.1532561E-011         8.7261255E-010         1.5741437E-010         0.0000000E+000         3.1720692E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.1734603E-007     1.5216566E+003     1.8414243E-005
     6.8129207E-004     1.2560434E-008     4.7247374E-011         1.8763842E-012         1.6755696E-013         4.9292899E-011         6.9565277E-010         1.2543192E-010         0.0000000E+000         2.4952027E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.9552667E-007     1.5202055E+003     1.8309027E-005
     6.1896582E-004     1.1422138E-008     5.3065011E-011         1.5054691E-012         1.3443540E-013         3.9549201E-011         5.5542702E-010         1.0010296E-010         0.0000000E+000         1.9657989E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.7602868E-007     1.5187558E+003     1.8172836E-005
     5.6234133E-004     1.0387001E-008     5.9557154E-011         1.2088031E-012         1.0794388E-013         3.1755823E-011         4.4379456E-010         7.9950387E-011         0.0000000E+000         1.5498939E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.5855108E-007     1.5173075E+003     1.8006369E-005
     5.1089698E-004     9.4402431E-009     6.6774920E-011         9.3455713E-013         8.3455050E-014         2.4551959E-011         3.4247656E-010         6.1674254E-011         0.0000000E+000         1.1893058E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.4181643E-007     1.5167171E+003     1.7800309E-005
     4.6415888E-004     8.5797808E-009     7.4695832E-011         7.8775168E-013         7.0345043E-014         2.0694838E-011         2.8807050E-010         5.1875052E-011         0.0000000E+000         9.9508034E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.3065273E-007     1.5161269E+003     1.7566084E-005
     4.2169650E-004     7.7977481E-009     8.3211280E-011         7.0955409E-013         6.3361238E-014         1.8639771E-011         2.5889858E-010         4.6627367E-011         0.0000000E+000         8.8971497E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.2322804E-007     1.5155370E+003     1.7304871E-005
     3.8311868E-004     7.0869964E-009     9.2279824E-011         6.7866315E-013         6.0601449E-014         1.7827145E-011         2.4704677E-010         4.4505468E-011         0.0000000E+000         8.4476164E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1875199E-007     1.5149473E+003     1.7017972E-005
     3.4807006E-004     6.4410286E-009     1.0191851E-010         6.4651247E-013         5.7729310E-014         1.6981546E-011         2.3479458E-010         4.2309397E-011         0.0000000E+000         7.9885419E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1444127E-007     1.5143578E+003     1.6706799E-005
     3.1622777E-004     5.8539396E-009     1.1229294E-010         6.1443147E-013         5.4863483E-014         1.6137854E-011         2.2262147E-010         4.0126846E-011         0.0000000E+000         7.5365881E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1028859E-007     1.5137685E+003     1.6372867E-005
     2.8729848E-004     5.3203628E-009     1.2355398E-010         5.8414935E-013         5.2158363E-014         1.5341480E-011         2.1115215E-010         3.8070455E-011         0.0000000E+000         7.1127267E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0717899E-007     1.5131795E+003     1.6017776E-005
     2.6101572E-004     4.8354206E-009     1.3583075E-010         5.6170347E-013         5.0152948E-014         1.4750918E-011         2.0255595E-010         3.6532312E-011         0.0000000E+000         6.7894240E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0615155E-007     1.5125907E+003     1.5643204E-005
     2.3713737E-004     4.3946801E-009     1.4909104E-010         5.5702752E-013         4.9733963E-014         1.4626845E-011         2.0037569E-010         3.6154678E-011         0.0000000E+000         6.6838691E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0570371E-007     1.5120021E+003     1.5250892E-005
     2.1544347E-004     3.9941124E-009     1.6343910E-010         5.5169663E-013         4.9256417E-014         1.4485501E-011         1.9796385E-010         3.5736334E-011         0.0000000E+000         6.5717429E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0525793E-007     1.5114138E+003     1.4842627E-005
     1.9573418E-004     3.6291454E-009     1.7911110E-010         5.3783085E-013         4.8016893E-014         1.4120086E-011         1.9274297E-010         3.4813689E-011         0.0000000E+000         6.3888103E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0475465E-007     1.5111820E+003     1.4416625E-005
     1.7782794E-004     3.2975278E-009     1.9623763E-010         5.2654639E-013         4.7007759E-014         1.3822385E-011         1.8845040E-010         3.4059824E-011         0.0000000E+000         6.2375216E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0433217E-007     1.5109502E+003     1.3978560E-005
     1.6155981E-004     2.9962121E-009     2.1492102E-010         5.1603333E-013         4.6067436E-014         1.3544886E-011         1.8443726E-010         3.3357272E-011         0.0000000E+000         6.0962142E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0393607E-007     1.5107185E+003     1.3530296E-005
     1.4677993E-004     2.7224295E-009     2.3527511E-010         5.0549731E-013         4.5125010E-014         1.3266738E-011         1.8041923E-010         3.2654600E-011         0.0000000E+000         5.9554473E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0354168E-007     1.5104868E+003     1.3073689E-005
     1.3335214E-004     2.4736641E-009     2.5737062E-010         4.9510137E-013         4.4195034E-014         1.2992219E-011         1.7645454E-010         3.1962325E-011         0.0000000E+000         5.8171340E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0315884E-007     1.5102551E+003     1.2610579E-005
     1.2115277E-004     2.2476300E-009     2.8112948E-010         4.8671270E-013         4.3444146E-014         1.2770296E-011         1.7320553E-010         3.1401021E-011         0.0000000E+000         5.7031610E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0286609E-007     1.5100235E+003     1.2142775E-005
     1.1006942E-004     2.0422500E-009     3.0641761E-010         4.7742508E-013         4.2612944E-014         1.2524724E-011         1.6963791E-010         3.0782958E-011         0.0000000E+000         5.5793524E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0257420E-007     1.5097919E+003     1.1672043E-005
     1.0000000E-004     1.8556369E-009     3.3300375E-010         4.6693729E-013         4.1674559E-014         1.2247615E-011         1.6564642E-010         3.0088828E-011         0.0000000E+000         5.4422783E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0228316E-007     1.5095603E+003     1.1200097E-005
     9.0851758E-005     1.6860758E-009     3.6045363E-010         4.5485147E-013         4.0593511E-014         1.1928558E-011         1.6109281E-010         2.9293110E-011         0.0000000E+000         5.2874153E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0199296E-007     1.5093288E+003     1.0728593E-005
     8.2540419E-005     1.5320085E-009     3.8813312E-010         4.4079351E-013         3.9336453E-014         1.1557776E-011         1.5584816E-010         2.8371877E-011         0.0000000E+000         5.1105651E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0170480E-007     1.5090973E+003     1.0259111E-005
     7.4989421E-005     1.3918562E-009     4.1530469E-010         4.2208371E-013         3.7664344E-014         1.1065091E-011         1.4904602E-010         2.7167014E-011         0.0000000E+000         4.8896822E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0140393E-007     1.5090073E+003     9.7919987E-006
     6.8129207E-005     1.2645254E-009     4.4082763E-010         4.0217518E-013         3.5885382E-014         1.0541079E-011         1.4183160E-010         2.5885440E-011         0.0000000E+000         4.6553529E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0115613E-007     1.5089173E+003     9.3299430E-006
     6.1896582E-005     1.1488432E-009     4.6334398E-010         3.8052536E-013         3.3951208E-014         9.9715670E-012         1.3401701E-010         2.4492139E-011         0.0000000E+000         4.4013156E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0095638E-007     1.5088273E+003     8.8742702E-006
     5.6234133E-005     1.0437439E-009     4.8164822E-010         3.5607316E-013         3.1767229E-014         9.3288168E-012         1.2523387E-010         2.2918664E-011         0.0000000E+000         4.1153250E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0075703E-007     1.5087374E+003     8.4262109E-006
     5.1089698E-005     9.4825935E-010     4.9474187E-010         3.2924167E-013         2.9371278E-014         8.6239871E-012         1.1563673E-010         2.1192122E-011         0.0000000E+000         3.8023184E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0055808E-007     1.5086474E+003     7.9868958E-006
