#  lambda [mu]  total average tau
    1.026003      0.1792842E+05
    1.032843      0.1770706E+05
    1.039729      0.1758084E+05
    1.046660      0.1753284E+05
    1.053638      0.1751303E+05
    1.060662      0.1749395E+05
    1.067734      0.1745849E+05
    1.074852      0.1752341E+05
    1.082017      0.1764231E+05
    1.089231      0.1821142E+05
    1.096492      0.1967908E+05
    1.103802      0.2126918E+05
    1.111161      0.2349190E+05
    1.118569      0.2347907E+05
    1.126026      0.2202719E+05
    1.133533      0.2480432E+05
    1.141090      0.2366230E+05
    1.148697      0.2182369E+05
    1.156355      0.2255281E+05
    1.164064      0.2527922E+05
    1.171824      0.2993778E+05
    1.179637      0.2877588E+05
    1.187501      0.2186524E+05
    1.195417      0.2097851E+05
    1.203387      0.2060980E+05
    1.211409      0.2055745E+05
    1.219486      0.2040799E+05
    1.227615      0.2022950E+05
    1.235800      0.2021564E+05
    1.244038      0.2088080E+05
    1.252332      0.2129907E+05
    1.260681      0.1915479E+05
    1.269085      0.1882959E+05
    1.277546      0.1883532E+05
    1.286063      0.1904868E+05
    1.294637      0.1927587E+05
    1.303267      0.1984483E+05
    1.311956      0.2076402E+05
    1.320702      0.2225852E+05
    1.329507      0.3077537E+05
    1.338370      0.7730175E+05
    1.347293      0.9997688E+05
    1.356275      0.9605305E+05
    1.365317      0.7657321E+05
    1.374419      0.6313979E+05
    1.383581      0.7734261E+05
    1.392805      0.8837644E+05
    1.402091      0.8679703E+05
    1.411438      0.1001898E+06
    1.420848      0.1060698E+06
    1.430320      0.1052709E+06
    1.439855      0.9702982E+05
    1.449454      0.9362206E+05
    1.459117      0.9136580E+05
    1.468845      0.8909520E+05
    1.478637      0.9020237E+05
    1.488495      0.8908507E+05
    1.498418      0.9058469E+05
    1.508407      0.9160552E+05
    1.518464      0.9412835E+05
    1.528587      0.9793007E+05
    1.538777      0.1015016E+06
    1.549036      0.1062485E+06
    1.559363      0.1127384E+06
    1.569758      0.1199637E+06
    1.580223      0.1286041E+06
    1.590758      0.1389835E+06
    1.601363      0.1515318E+06
    1.612039      0.1658753E+06
    1.622786      0.1801677E+06
    1.633605      0.1940274E+06
    1.644495      0.2083134E+06
    1.655459      0.2243826E+06
    1.666495      0.2437449E+06
    1.677605      0.2628247E+06
    1.688789      0.2820917E+06
    1.700048      0.3026228E+06
    1.711381      0.3244429E+06
    1.722790      0.3501061E+06
    1.734276      0.3784830E+06
    1.745838      0.4107994E+06
    1.757476      0.4465756E+06
    1.769193      0.4864887E+06
    1.780988      0.5334278E+06
    1.792861      0.5721737E+06
    1.804813      0.6196376E+06
    1.816845      0.6533581E+06
    1.828958      0.6654426E+06
    1.841151      0.6999738E+06
    1.853425      0.7602784E+06
    1.865781      0.7950184E+06
    1.878220      0.7873878E+06
    1.890741      0.7934584E+06
    1.903346      0.8179474E+06
    1.916035      0.8612708E+06
    1.928809      0.9044830E+06
    1.941667      0.9611467E+06
    1.954612      0.1000885E+07
    1.967643      0.1032276E+07
    1.980760      0.1063390E+07
    1.993965      0.1099036E+07
    2.007258      0.1118323E+07
    2.020640      0.1146479E+07
    2.034111      0.1180526E+07
    2.047672      0.1215132E+07
    2.061323      0.1254168E+07
    2.075065      0.1298411E+07
    2.088899      0.1347385E+07
    2.102825      0.1399995E+07
    2.116844      0.1455850E+07
    2.130956      0.1516436E+07
    2.145162      0.1580875E+07
    2.159463      0.1649210E+07
    2.173860      0.1721554E+07
    2.188352      0.1797244E+07
    2.202941      0.1879942E+07
    2.217627      0.1950904E+07
    2.232412      0.2021614E+07
    2.247294      0.2098045E+07
    2.262276      0.2174385E+07
    2.277358      0.2250524E+07
    2.292541      0.2318844E+07
    2.307824      0.2372012E+07
    2.323210      0.2442735E+07
    2.338698      0.2500647E+07
    2.354289      0.2520998E+07
    2.369984      0.2540227E+07
    2.385784      0.2559782E+07
    2.401689      0.2546059E+07
    2.417701      0.2546526E+07
    2.433819      0.2552113E+07
    2.450044      0.2572176E+07
    2.466378      0.2606137E+07
    2.482820      0.2670458E+07
    2.499372      0.2678662E+07
    2.516035      0.2692557E+07
    2.532809      0.2680398E+07
    2.549694      0.2581745E+07
    2.566692      0.2536769E+07
    2.583803      0.2268863E+07
    2.601029      0.2097342E+07
    2.618369      0.1820909E+07
    2.635824      0.1672141E+07
    2.653397      0.1574522E+07
    2.671086      0.1942358E+07
    2.688893      0.2113071E+07
    2.706819      0.1952464E+07
    2.724865      0.1793378E+07
    2.743030      0.1695805E+07
    2.761317      0.1727022E+07
    2.779726      0.1657414E+07
    2.798258      0.1641371E+07
    2.816913      0.1610252E+07
    2.835692      0.1576061E+07
    2.854597      0.1579660E+07
    2.873627      0.1478935E+07
    2.892785      0.1458289E+07
    2.912070      0.1398072E+07
    2.931484      0.1296080E+07
    2.951027      0.1226870E+07
    2.970701      0.1124214E+07
    2.990505      0.1068685E+07
    3.010442      0.1015633E+07
    3.030512      0.9739872E+06
    3.050715      0.9846140E+06
    3.071053      0.1023899E+07
    3.091527      0.1130317E+07
    3.112137      0.1211342E+07
    3.132884      0.1295258E+07
    3.153770      0.1331291E+07
    3.174796      0.1315095E+07
    3.195961      0.1241945E+07
    3.217267      0.1102089E+07
    3.238716      0.9794460E+06
    3.260307      0.8535774E+06
    3.282043      0.8084503E+06
    3.303923      0.1127671E+07
    3.325949      0.2211419E+07
    3.348122      0.1966340E+07
    3.370443      0.1118445E+07
    3.392912      0.8251736E+06
    3.415532      0.8274408E+06
    3.438302      0.8759041E+06
    3.461224      0.8354431E+06
    3.484299      0.8075013E+06
    3.507527      0.7828921E+06
    3.530911      0.7685269E+06
    3.554450      0.7551527E+06
    3.578147      0.7066263E+06
    3.602001      0.6358635E+06
    3.626014      0.5770187E+06
    3.650188      0.5322735E+06
    3.674522      0.4903190E+06
    3.699019      0.4581875E+06
    3.723679      0.4351908E+06
    3.748504      0.4159643E+06
    3.773494      0.4049468E+06
    3.798651      0.3984607E+06
    3.823975      0.3953494E+06
    3.849468      0.3914997E+06
    3.875131      0.3915621E+06
    3.900965      0.3941521E+06
    3.926972      0.3970656E+06
    3.953152      0.4021921E+06
    3.979506      0.4090506E+06
    4.006036      0.4164106E+06
    4.032743      0.4259405E+06
    4.059628      0.4359980E+06
    4.086692      0.4518428E+06
    4.113937      0.4632982E+06
    4.141363      0.4777644E+06
    4.168972      0.4942786E+06
    4.196765      0.5051693E+06
    4.224744      0.5191798E+06
    4.252909      0.5391353E+06
    4.281261      0.5490840E+06
    4.309803      0.5646141E+06
    4.338535      0.5920603E+06
    4.367459      0.6325460E+06
    4.396575      0.6836276E+06
    4.425885      0.7354254E+06
    4.455391      0.8029380E+06
    4.485094      0.8939051E+06
    4.514995      0.9234389E+06
    4.545095      0.9046936E+06
    4.575395      0.8914832E+06
    4.605898      0.8803890E+06
    4.636604      0.8455116E+06
    4.667515      0.8359508E+06
    4.698631      0.8544877E+06
    4.729955      0.8993299E+06
    4.761489      0.9442726E+06
    4.793232      0.1018236E+07
    4.825187      0.1059269E+07
    4.857355      0.1108547E+07
    4.889737      0.1139216E+07
    4.922335      0.1149891E+07
    4.955151      0.1185916E+07
    4.985800      0.1157153E+07
